"8123","BIOL 409","ON1","Comparative Anatomy Vert","4","","Lec","MWF","1200-1250","SYN ","Collar, David","0","Closed",
"8124","BIOL 409L","1","Comp Anat Vert Lab","0","","Lab","F","1300-1650","FORBES 2056","Collar, David","0","Closed",
"8125","BIOL 412","1","Fndmntl Molecular Biology","4","","Lec","TR","0930-1045","LUTR 264","Meighan, Christopher","0","Closed",
"8126","BIOL 412L","1","Fndmntl Molecular Biology Lab","0","","Lab","M","1300-1650","FORBES 1015","Bogenpohl, James","0","Closed",
"9235","BIOL 424L","1","Human Donor Experience II","1 - 2","","Lab","","","ARR ","Lustig, Keith","0","Closed",
"8128","BIOL 425","1","Ornithology","3","","Lec","MWF","1100-1150","FORBES 2074","Sherwin, Richard","0","Closed",
"8129","BIOL 425L","1","Ornithology Lab","1","","Lab","W","1300-1650","FORBES 2043","Sherwin, Richard","0","Closed",
"8054","BIOL 434","1","Marine Ecology","4","","Lec","MWF","0900-0950","FORBES 2074","Burke, Russell","1","Open",
"8130","BIOL 434L","1","Marine Ecology Lab","0","","Lab","F","1300-1650","FORBES 2051","Burke, Russell","1","Open",
"8131","BIOL 435","1","Environmental Appl GIS","4","","Lec","TR","0930-1045","FORBES 2074","Whiting, Gary","0","Closed",
"8132","BIOL 435L","1","Environmental Appl of GIS Lab","0","","Lab","T","1330-1720","FORBES 2051","Whiting, Gary","0","Closed",
"8133","BIOL 440","1","Herpetology","4","","Lec","TR","1100-1215","MCM 160","Lattanzio, Matthew","0","Closed",
"8134","BIOL 440L","1","Herpetology Laboratory","0","","Lab","M","1300-1650","FORBES 2043","Lattanzio, Matthew","0","Closed",
"8055","BIOL 450","ON1","Environmental Microbiology","4","","Lec","MWF","1100-1150","SYN ","Knies, Jennifer","1","Open",
"8135","BIOL 450L","ON1","Environmental Microbiology Lab","0","","Lab","M","1300-1650","SYN ","Knies, Jennifer","1","Open",
"8136","BIOL 450L","ON2","Environmental Microbiology Lab","0","","Lab","F","1300-1650","SYN ","Knies, Jennifer","0","Closed",
"8056","BIOL 454","1","Global Change","3","","Lec","R","1730-2020","FORBES 2074","Whiting, Gary","2","Open",
"8137","BIOL 491","1","WI: Senior Seminar","1","  WI","Lec","T","1730-1820","FORBES 2051","Waldien, David","0","Closed",
"8146","BIOL 491","10","WI: Senior Seminar","1","  WI","Lec","W","1700-1750","FORBES 2014","Dorsey, Brittany","4","Open",
"8138","BIOL 491","2","WI: Senior Seminar","1","  WI","Lec","T","1830-1920","FORBES 2051","Waldien, David","0","Closed",
"8139","BIOL 491","3","WI: Senior Seminar","1","  WI","Lec","T","1630-1720","FORBES 2043","Waldien, David","0","Closed",
"8140","BIOL 491","ON1","WI: Senior Seminar","1","  WI","Lec","M","0900-0950","SYN ","Tombolato-Terzic, Denise","0","Closed",
"8141","BIOL 491","ON2","WI: Senior Seminar","1","  WI","Lec","W","0900-0950","SYN ","Tombolato-Terzic, Denise","0","Closed",
"8142","BIOL 491","ON3","WI: Senior Seminar","1","  WI","Lec","F","0900-0950","SYN ","Tombolato-Terzic, Denise","0","Closed",
"8143","BIOL 491","ON4","WI: Senior Seminar","1","  WI","Lec","M","1300-1350","SYN ","Webb, Lisa","3","Open",
"8144","BIOL 491","ON5","WI: Senior Seminar","1","  WI","Lec","W","1300-1350","SYN ","Webb, Lisa","2","Open",
"8145","BIOL 491","ON6","WI: Senior Seminar","1","  WI","Lec","F","1300-1350","SYN ","Webb, Lisa","3","Open",
"9403","BIOL 492","1","IND ST: Hymenoptera of Hamp Rd","2","","Ind","","","ARR ","Meyer, Michael","0","Closed",
"9408","BIOL 492","2","IND ST:Biostat Lb Module Dment","1","","Ind","","","ARR ","Velkey, Andrew","0","Closed",
"9409","BIOL 492","3","IND ST: Biobehav SocPref Zebra","1","","Ind","","","ARR ","Velkey, Andrew","0","Closed",
"9468","BIOL 492","4","IND ST: Princ of Lab Managemen","3","","Ind","","","ARR ","Velkey, Andrew","0","Closed",
"9472","BIOL 492","5","IND ST: Adol Cogn Dvlpmt Anatm","1 - 4","","Ind","","","ARR ","Lustig, Keith","0","Closed",
"9480","BIOL 492","6","IND ST: Salt Licks Bats Ecuadr","1 - 4","","Ind","","","ARR ","Sherwin, Richard","0","Closed",
"8057","BIOL 495","1","SPC TP: Molculr &amp; Cell Bio Agn","3","","Lec","MWF","1000-1050","FERG 210","Salazar, Anna","10","Open",
"9385","BIOL 496","1","PRT: EMT-B Hampton Fire &amp; Resc","3","","Pra","","","ARR ","Brown, Gwynne","0","Closed",
"9386","BIOL 496","2","PRT: Medic Ast Hampton Rds ENT","3","","Pra","","","ARR ","Brown, Gwynne","0","Closed",
